BHK,City,Size_sqft,Floors,Bathrooms,Furnishing,Property_Type,Age_years,Parking,Price
3,Chennai,758.0,14,4,Semi-furnished,Independent House,13.0,Yes,7430470.524299519
1,Surat,1610.0,2,2,Fully-furnished,Villa,29.0,No,8883468.99041292
2,Ahmedabad,1320.0,7,4,Unfurnished,Apartment,18.0,No,8212239.34372185
5,Bangalore,3288.0,7,2,Semi-furnished,Independent House,8.0,No,27309028.453214165
5,Bangalore,2063.0,2,2,Semi-furnished,Independent House,12.0,Yes,19107158.479633853
3,Delhi,1707.0,1,2,Fully-furnished,Apartment,11.0,No,20744305.815311793
5,Mumbai,808.0,14,1,Unfurnished,Apartment,1.0,Yes,16100348.23834861
5,Ahmedabad,2339.0,13,1,Semi-furnished,Apartment,5.0,Yes,14575444.123077024
1,Jaipur,3852.0,10,2,Unfurnished,Villa,20.0,No,14803775.354277587
4,Jaipur,1883.0,1,2,Semi-furnished,Villa,28.0,No,8988017.60713816
3,Ahmedabad,2806.0,14,1,Unfurnished,Villa,19.0,No,12981716.662076876
1,Pune,1680.0,1,3,Semi-furnished,Apartment,17.0,Yes,9855476.452325545
4,Mumbai,2972.0,6,1,Unfurnished,Independent House,8.0,Yes,37769578.78581905
1,Jaipur,3186.0,10,2,Unfurnished,Apartment,14.0,No,13001670.977477312
1,Hyderabad,3467.0,12,1,Semi-furnished,Independent House,20.0,No,22055616.38013829
5,Kolkata,4945.0,7,4,Unfurnished,Independent House,0.0,Yes,23367329.46889445
4,Ahmedabad,1460.0,2,2,Unfurnished,Apartment,20.0,Yes,8557336.199295498
3,Pune,3956.0,6,1,Fully-furnished,Villa,6.0,No,25727705.10384174
3,Hyderabad,937.0,4,4,Fully-furnished,Apartment,2.0,No,11348786.988123532
4,Kolkata,955.0,13,1,Fully-furnished,Independent House,22.0,No,7550907.467282228
5,Kolkata,4317.0,9,1,Fully-furnished,Apartment,21.0,No,25719830.217297867
2,Delhi,2069.0,11,3,Unfurnished,Apartment,6.0,No,18851594.235924847
1,Mumbai,1603.0,8,1,Semi-furnished,Independent House,12.0,Yes,22177343.395385668
5,Ahmedabad,2118.0,8,1,Semi-furnished,Apartment,8.0,No,14237588.273240045
4,Pune,4112.0,2,3,Fully-furnished,Villa,1.0,No,27434701.200484823
1,Surat,2012.0,11,1,Semi-furnished,Villa,11.0,Yes,10030516.839455394
3,Delhi,891.0,5,3,Semi-furnished,Villa,1.0,No,14197141.943715816
2,Bangalore,3121.0,2,4,Unfurnished,Independent House,12.0,No,21621566.237709552
3,Hyderabad,1420.0,3,3,Unfurnished,Apartment,0.0,Yes,12059144.453884885
4,Surat,2957.0,8,4,Semi-furnished,Apartment,26.0,Yes,14913343.859741775
1,Hyderabad,4100.0,5,3,Unfurnished,Villa,17.0,No,23820679.47601395
4,Ahmedabad,2288.0,4,4,Fully-furnished,Independent House,2.0,No,17551611.799325895
1,Pune,760.0,5,1,Fully-furnished,Villa,27.0,No,5447566.860029706
5,Pune,2513.0,8,4,Semi-furnished,Villa,6.0,Yes,16505227.574620234
2,Kolkata,1835.0,10,4,Semi-furnished,Villa,2.0,Yes,10948066.78576017
5,Surat,834.0,14,2,Fully-furnished,Villa,14.0,Yes,7550727.032099773
5,Pune,3279.0,14,4,Semi-furnished,Independent House,11.0,Yes,19970900.811162192
4,Jaipur,1303.0,7,1,Semi-furnished,Independent House,10.0,Yes,8042492.420233253
2,Hyderabad,2937.0,6,2,Unfurnished,Villa,12.0,Yes,18147672.370692834
1,Kolkata,3307.0,2,2,Unfurnished,Independent House,23.0,Yes,15065013.123552999
1,Ahmedabad,1440.0,10,3,Fully-furnished,Villa,2.0,No,10383646.125343923
3,Pune,3663.0,5,4,Fully-furnished,Villa,29.0,No,23205536.039488472
1,Chennai,1402.0,10,3,Fully-furnished,Villa,17.0,Yes,10647378.425638113
4,Ahmedabad,3932.0,13,3,Fully-furnished,Villa,14.0,Yes,24123922.997243464
5,Surat,1768.0,14,4,Fully-furnished,Apartment,25.0,Yes,10724740.958252365
5,Jaipur,523.0,9,3,Unfurnished,Apartment,9.0,No,5043910.584111015
5,Mumbai,3248.0,9,1,Semi-furnished,Villa,19.0,Yes,42731696.16667719
2,Bangalore,2950.0,9,1,Fully-furnished,Villa,3.0,Yes,26507315.44172345
1,Chennai,1896.0,3,4,Fully-furnished,Villa,4.0,Yes,14468528.009721769
4,Kolkata,3857.0,9,4,Unfurnished,Apartment,11.0,No,18298152.109510083
2,Hyderabad,4404.0,9,2,Unfurnished,Apartment,20.0,No,25963069.95105825
3,Surat,2988.0,5,4,Unfurnished,Villa,18.0,No,13777896.871798335
4,Surat,4166.0,13,4,Unfurnished,Apartment,15.0,No,17552894.063955616
4,Mumbai,2257.0,6,1,Semi-furnished,Apartment,16.0,Yes,30431859.907231413
4,Chennai,2378.0,7,1,Semi-furnished,Apartment,7.0,No,16924542.611242473
5,Hyderabad,3032.0,10,4,Unfurnished,Independent House,25.0,No,19801611.284769848
4,Bangalore,4014.0,10,2,Unfurnished,Villa,1.0,Yes,28696952.77144019
1,Delhi,4273.0,10,1,Fully-furnished,Apartment,28.0,Yes,41707033.61405409
4,Delhi,2578.0,6,1,Semi-furnished,Apartment,27.0,Yes,25760318.840558875
5,Surat,2557.0,5,3,Fully-furnished,Independent House,29.0,Yes,14166202.270604696
4,Chennai,1177.0,13,4,Unfurnished,Independent House,15.0,Yes,9136940.582833411
3,Mumbai,3474.0,1,3,Fully-furnished,Independent House,14.0,No,50269683.02675482
3,Surat,784.0,4,4,Unfurnished,Independent House,10.0,Yes,4708291.500919817
5,Delhi,2700.0,13,2,Semi-furnished,Independent House,4.0,Yes,28783889.39957161
1,Surat,4966.0,14,3,Fully-furnished,Independent House,1.0,Yes,26248244.34607134
1,Delhi,2340.0,8,1,Fully-furnished,Independent House,21.0,No,24015633.50386517
2,Chennai,2378.0,8,4,Fully-furnished,Villa,6.0,No,17855032.271324296
5,Chennai,2110.0,12,4,Semi-furnished,Independent House,6.0,Yes,16803932.174118932
4,Mumbai,4462.0,13,3,Semi-furnished,Apartment,28.0,Yes,54868907.66417982
5,Kolkata,4736.0,6,3,Fully-furnished,Apartment,0.0,No,28295479.070050213
2,Kolkata,3659.0,13,2,Fully-furnished,Apartment,24.0,Yes,19671202.81955096
5,Surat,3998.0,3,1,Fully-furnished,Apartment,16.0,Yes,22108047.83738705
5,Surat,2631.0,12,2,Unfurnished,Independent House,23.0,No,13407681.31668621
2,Surat,3814.0,8,1,Unfurnished,Villa,26.0,Yes,16123235.568978613
1,Mumbai,1878.0,7,1,Unfurnished,Villa,15.0,Yes,21754359.77948067
4,Ahmedabad,3577.0,11,4,Semi-furnished,Independent House,16.0,Yes,19535186.3104313
2,Surat,3514.0,9,1,Fully-furnished,Villa,10.0,Yes,17511122.4161872
3,Kolkata,4392.0,3,3,Unfurnished,Independent House,13.0,No,20197365.57235619
1,Kolkata,2215.0,11,4,Fully-furnished,Apartment,12.0,Yes,12442511.11126406
3,Hyderabad,952.0,6,2,Semi-furnished,Independent House,2.0,Yes,10104786.68658962
1,Chennai,841.0,1,1,Unfurnished,Villa,25.0,Yes,5445041.566319674
4,Ahmedabad,892.0,12,4,Fully-furnished,Villa,19.0,No,7776618.06946134
4,Delhi,1769.0,8,3,Semi-furnished,Villa,24.0,Yes,19092075.65720049
5,Kolkata,3550.0,2,2,Semi-furnished,Independent House,7.0,Yes,19150092.49679221
3,Bangalore,4559.0,5,4,Unfurnished,Independent House,11.0,No,30318338.977516167
1,Bangalore,1470.0,6,4,Semi-furnished,Independent House,28.0,No,11578594.620044814
4,Kolkata,2705.0,4,3,Semi-furnished,Villa,10.0,Yes,15008866.91778885
2,Bangalore,665.0,9,3,Unfurnished,Villa,26.0,No,6649705.500588929
4,Pune,754.0,3,1,Fully-furnished,Villa,11.0,No,7323265.697876181
2,Ahmedabad,801.0,2,2,Semi-furnished,Apartment,14.0,No,6377501.187755747
1,Chennai,3603.0,3,4,Fully-furnished,Independent House,20.0,No,24113047.901848458
4,Kolkata,4340.0,5,3,Fully-furnished,Independent House,3.0,No,25322673.52271902
4,Kolkata,3056.0,1,3,Fully-furnished,Villa,9.0,Yes,19342795.2783123
1,Delhi,2005.0,10,4,Unfurnished,Villa,15.0,No,18223970.519484505
4,Ahmedabad,1756.0,12,3,Semi-furnished,Villa,8.0,Yes,12333208.757183246
2,Surat,2762.0,4,3,Unfurnished,Villa,16.0,Yes,11987769.5988121
4,Surat,4840.0,1,1,Fully-furnished,Apartment,26.0,No,25088136.09559313
3,Jaipur,709.0,9,4,Semi-furnished,Villa,21.0,No,5299693.515258255
5,Hyderabad,4293.0,14,1,Fully-furnished,Villa,12.0,Yes,35215664.581927754
2,Pune,3547.0,3,2,Fully-furnished,Villa,7.0,Yes,23057388.787145622
3,Mumbai,1480.0,2,3,Unfurnished,Independent House,22.0,No,18575114.365797523
1,Mumbai,2619.0,5,1,Unfurnished,Independent House,7.0,Yes,30327743.64251189
2,Jaipur,4245.0,1,4,Semi-furnished,Villa,28.0,No,17356255.725090355
5,Chennai,677.0,10,2,Semi-furnished,Independent House,2.0,No,8430934.203995036
5,Mumbai,2046.0,14,2,Fully-furnished,Apartment,20.0,No,33923800.16353743
1,Surat,2534.0,7,1,Fully-furnished,Apartment,12.0,Yes,13461702.839869017
1,Bangalore,798.0,9,1,Fully-furnished,Apartment,16.0,Yes,9273296.85885152
2,Hyderabad,3067.0,1,3,Unfurnished,Apartment,15.0,Yes,19811710.078205466
4,Ahmedabad,4066.0,12,1,Semi-furnished,Independent House,23.0,Yes,21901488.79930907
1,Surat,4539.0,8,1,Unfurnished,Independent House,1.0,No,19028759.516958553
4,Delhi,774.0,8,1,Unfurnished,Villa,9.0,No,10620185.56556268
3,Ahmedabad,3495.0,7,2,Fully-furnished,Apartment,2.0,No,22443888.433792014
5,Mumbai,552.0,10,4,Fully-furnished,Apartment,25.0,Yes,15304766.115671983
4,Delhi,1923.0,4,1,Fully-furnished,Independent House,1.0,Yes,25438264.521611243
5,Ahmedabad,2127.0,14,2,Unfurnished,Apartment,0.0,No,12227594.819024343
4,Kolkata,988.0,12,2,Fully-furnished,Independent House,1.0,No,9608962.192879265
3,Pune,2854.0,14,1,Unfurnished,Independent House,25.0,No,14796542.174476055
1,Surat,916.0,7,2,Unfurnished,Apartment,1.0,No,5479448.4578084685
3,Delhi,3056.0,2,3,Unfurnished,Villa,5.0,No,28201089.38108064
1,Jaipur,1420.0,6,4,Semi-furnished,Independent House,13.0,No,6142329.542133002
1,Pune,2053.0,14,3,Unfurnished,Independent House,19.0,No,11394699.743222604
5,Ahmedabad,3185.0,12,4,Fully-furnished,Apartment,9.0,Yes,20585091.67397021
3,Chennai,1165.0,11,2,Fully-furnished,Independent House,19.0,Yes,10395461.3444892
4,Jaipur,4601.0,5,1,Semi-furnished,Villa,0.0,No,21523273.142590396
3,Surat,2969.0,5,1,Fully-furnished,Apartment,25.0,Yes,15416039.558690052
5,Kolkata,1974.0,11,2,Fully-furnished,Independent House,12.0,Yes,13605200.690521192
1,Delhi,837.0,8,1,Fully-furnished,Apartment,15.0,No,11536095.866509534
5,Bangalore,3659.0,1,2,Semi-furnished,Villa,27.0,No,28935893.247083366
2,Delhi,768.0,8,3,Unfurnished,Apartment,1.0,No,9524013.823484795
2,Pune,1587.0,4,2,Semi-furnished,Villa,13.0,No,9638003.528550716
4,Delhi,1793.0,13,2,Semi-furnished,Apartment,28.0,Yes,18973410.241284635
5,Pune,1156.0,10,3,Fully-furnished,Villa,18.0,No,10859357.402256776
4,Jaipur,3328.0,6,3,Fully-furnished,Apartment,11.0,Yes,17504206.196533035
4,Delhi,4473.0,6,2,Semi-furnished,Apartment,15.0,Yes,42268838.62895905
2,Jaipur,1836.0,1,3,Unfurnished,Independent House,8.0,Yes,8159628.030125762
4,Kolkata,2856.0,8,4,Semi-furnished,Apartment,10.0,No,15715347.68733022
2,Kolkata,2167.0,13,3,Unfurnished,Independent House,20.0,Yes,10440103.637021372
1,Pune,2325.0,4,1,Fully-furnished,Villa,11.0,Yes,15551748.288699094
5,Ahmedabad,4530.0,13,3,Semi-furnished,Villa,3.0,No,26044415.963799067
4,Kolkata,1712.0,12,3,Unfurnished,Apartment,25.0,Yes,9228977.876813952
2,Hyderabad,3268.0,9,2,Semi-furnished,Independent House,18.0,Yes,22643630.888495073
3,Delhi,4915.0,7,3,Semi-furnished,Independent House,9.0,No,45966623.37884739
4,Hyderabad,3558.0,14,4,Fully-furnished,Apartment,14.0,Yes,29400724.24099865
1,Delhi,944.0,11,2,Unfurnished,Independent House,16.0,Yes,9799892.57496701
1,Mumbai,1897.0,14,4,Unfurnished,Apartment,26.0,No,22193109.391149994
3,Jaipur,4881.0,4,1,Unfurnished,Apartment,11.0,Yes,18190911.468809932
2,Pune,2718.0,12,2,Unfurnished,Apartment,28.0,No,13627478.388363589
4,Surat,4176.0,1,2,Unfurnished,Independent House,0.0,No,18819903.328938644
2,Surat,2810.0,9,1,Fully-furnished,Apartment,15.0,Yes,14973467.148411093
1,Chennai,4540.0,10,1,Semi-furnished,Villa,25.0,Yes,27058786.802484307
2,Ahmedabad,4106.0,6,4,Fully-furnished,Apartment,7.0,Yes,23598530.434911635
1,Pune,2327.0,6,3,Semi-furnished,Independent House,25.0,No,12569188.255523289
2,Kolkata,3719.0,1,2,Unfurnished,Apartment,29.0,No,15251333.856603783
3,Bangalore,2572.0,5,2,Fully-furnished,Apartment,24.0,Yes,22533507.93057824
5,Ahmedabad,4689.0,4,4,Semi-furnished,Villa,18.0,Yes,24884760.160500724
3,Ahmedabad,2830.0,11,2,Semi-furnished,Villa,8.0,No,16280013.059053842
3,Bangalore,1185.0,1,1,Semi-furnished,Independent House,23.0,Yes,12068267.709159529
5,Jaipur,1184.0,7,2,Unfurnished,Apartment,10.0,No,7614727.292025318
5,Ahmedabad,3437.0,4,3,Fully-furnished,Apartment,16.0,No,21498666.02474572
4,Mumbai,4211.0,3,1,Semi-furnished,Villa,21.0,No,53047078.37358842
4,Ahmedabad,840.0,2,4,Unfurnished,Apartment,29.0,No,5481748.77683165
3,Chennai,1233.0,8,4,Fully-furnished,Independent House,8.0,No,12023189.353057569
3,Hyderabad,1996.0,5,2,Semi-furnished,Villa,19.0,No,15551690.667854484
1,Surat,4393.0,10,1,Unfurnished,Villa,10.0,No,18672911.41111414
1,Jaipur,3454.0,9,1,Semi-furnished,Independent House,8.0,No,15722223.198864965
4,Pune,1631.0,5,1,Unfurnished,Apartment,1.0,No,11410220.549610537
4,Kolkata,2232.0,10,2,Fully-furnished,Independent House,25.0,No,13832267.695565162
1,Mumbai,3535.0,12,2,Semi-furnished,Villa,29.0,Yes,41107373.57089427
1,Jaipur,3213.0,1,4,Unfurnished,Villa,26.0,No,11426803.834787179
2,Hyderabad,2979.0,14,3,Unfurnished,Independent House,8.0,Yes,19438297.12229685
2,Chennai,1919.0,10,1,Unfurnished,Villa,10.0,No,12325166.73753395
1,Hyderabad,2489.0,5,2,Fully-furnished,Apartment,0.0,Yes,19668969.514182705
2,Pune,987.0,5,2,Unfurnished,Villa,19.0,Yes,6852699.343405261
5,Bangalore,4319.0,8,3,Semi-furnished,Independent House,4.0,Yes,34040588.603995524
4,Kolkata,1941.0,6,2,Fully-furnished,Independent House,17.0,No,12327723.375915209
4,Bangalore,2890.0,11,2,Semi-furnished,Villa,21.0,No,23069835.671695888
1,Delhi,1884.0,5,2,Unfurnished,Independent House,7.0,Yes,16641956.191112723
3,Chennai,2656.0,13,1,Unfurnished,Independent House,26.0,Yes,15138074.877906976
1,Kolkata,4896.0,8,3,Semi-furnished,Apartment,17.0,No,22557434.378876597
2,Pune,1891.0,1,4,Semi-furnished,Villa,8.0,Yes,11501999.513406169
3,Jaipur,3642.0,5,3,Fully-furnished,Apartment,1.0,No,18433439.078932934
2,Surat,768.0,3,3,Unfurnished,Independent House,16.0,No,4414852.992515719
5,Kolkata,4417.0,5,4,Fully-furnished,Independent House,10.0,No,26507782.541851763
2,Jaipur,2024.0,3,4,Unfurnished,Apartment,13.0,No,8209388.064491071
5,Jaipur,977.0,4,2,Semi-furnished,Villa,5.0,Yes,6694609.254871268
5,Delhi,4771.0,11,2,Fully-furnished,Independent House,4.0,No,52275091.70259315
2,Mumbai,738.0,9,2,Unfurnished,Independent House,11.0,No,12710308.74976511
2,Chennai,1109.0,2,1,Semi-furnished,Independent House,11.0,Yes,8602898.316516468
5,Chennai,4924.0,14,1,Fully-furnished,Villa,9.0,Yes,36034297.66299361
3,Delhi,3897.0,10,3,Fully-furnished,Apartment,2.0,No,42697022.376841396
5,Bangalore,2331.0,12,1,Fully-furnished,Apartment,18.0,No,23627402.045513835
4,Bangalore,1654.0,1,1,Semi-furnished,Villa,23.0,Yes,14593409.052443536
5,Pune,2251.0,12,4,Fully-furnished,Independent House,29.0,No,16650765.744915701
3,Mumbai,4098.0,4,2,Unfurnished,Independent House,19.0,Yes,46531812.96192088
4,Jaipur,2985.0,8,4,Semi-furnished,Villa,16.0,No,13785116.13623934
1,Ahmedabad,3838.0,13,2,Fully-furnished,Independent House,14.0,No,21956287.868382584
1,Ahmedabad,2833.0,5,3,Semi-furnished,Apartment,3.0,Yes,15217528.559427878
3,Bangalore,4886.0,9,4,Unfurnished,Apartment,5.0,No,33052625.465249393
5,Delhi,4963.0,10,2,Fully-furnished,Independent House,1.0,Yes,55569829.87594948
2,Mumbai,667.0,3,4,Semi-furnished,Villa,11.0,Yes,13225018.864276003
3,Hyderabad,4042.0,13,4,Semi-furnished,Villa,15.0,No,27980409.67135277
4,Surat,4509.0,9,2,Unfurnished,Independent House,6.0,No,19418294.249935184
4,Mumbai,577.0,1,1,Unfurnished,Independent House,16.0,Yes,11748839.509240566
1,Pune,3398.0,2,4,Semi-furnished,Independent House,13.0,Yes,17922885.085418187
4,Jaipur,1608.0,9,3,Fully-furnished,Villa,25.0,No,9266974.646030435
3,Jaipur,1391.0,14,1,Fully-furnished,Villa,8.0,Yes,8510631.200818194
4,Chennai,1724.0,9,4,Semi-furnished,Villa,12.0,No,13853671.523107981
3,Kolkata,1064.0,10,3,Unfurnished,Independent House,17.0,No,6625890.2369884895
2,Kolkata,3359.0,5,3,Fully-furnished,Villa,24.0,Yes,18573749.727123596
1,Chennai,801.0,10,2,Fully-furnished,Villa,11.0,Yes,7852312.054130458
4,Pune,4889.0,12,1,Unfurnished,Apartment,12.0,Yes,25699028.259556923
3,Jaipur,608.0,13,1,Unfurnished,Independent House,15.0,No,3970535.6636538096
5,Kolkata,2912.0,4,2,Unfurnished,Apartment,16.0,No,14521631.881801961
1,Kolkata,3147.0,9,4,Semi-furnished,Villa,29.0,Yes,14076602.731686275
2,Surat,3225.0,12,4,Semi-furnished,Apartment,19.0,No,15694243.442741321
3,Kolkata,3838.0,10,3,Semi-furnished,Apartment,20.0,No,19568948.882563405
2,Jaipur,2640.0,2,3,Unfurnished,Independent House,23.0,No,10257953.795055509
2,Pune,4313.0,3,3,Semi-furnished,Apartment,10.0,No,24306279.147283375
4,Hyderabad,4700.0,14,3,Unfurnished,Independent House,26.0,No,27643717.21527891
4,Bangalore,2756.0,8,2,Semi-furnished,Apartment,4.0,Yes,22966011.45996055
3,Mumbai,4145.0,1,4,Semi-furnished,Apartment,14.0,No,51781377.611294575
5,Delhi,3559.0,2,3,Fully-furnished,Villa,0.0,Yes,41954214.07228346
3,Ahmedabad,3021.0,5,1,Unfurnished,Independent House,16.0,No,15594455.606505694
5,Mumbai,3917.0,7,3,Fully-furnished,Villa,17.0,No,57658003.67820587
2,Surat,511.0,10,3,Unfurnished,Villa,8.0,No,4148213.025177386
1,Kolkata,3766.0,13,4,Semi-furnished,Independent House,16.0,No,18467458.327730373
3,Pune,3645.0,9,3,Semi-furnished,Independent House,2.0,Yes,21290938.28168872
3,Hyderabad,1374.0,14,2,Semi-furnished,Independent House,7.0,Yes,11893044.354842938
5,Ahmedabad,2933.0,3,4,Unfurnished,Independent House,10.0,Yes,15253393.341575813
2,Chennai,1383.0,11,4,Unfurnished,Villa,16.0,Yes,8817714.760123689
2,Hyderabad,4485.0,4,3,Semi-furnished,Apartment,15.0,No,28855326.618088804
5,Bangalore,2079.0,10,2,Fully-furnished,Apartment,19.0,Yes,20814020.52924936
2,Kolkata,4271.0,1,4,Semi-furnished,Independent House,26.0,Yes,20337307.48760786
4,Delhi,852.0,12,1,Semi-furnished,Villa,23.0,Yes,11582400.993698392
1,Ahmedabad,2006.0,1,3,Semi-furnished,Independent House,13.0,Yes,10889037.622061372
3,Kolkata,3987.0,1,4,Semi-furnished,Apartment,21.0,No,19669115.35324888
1,Ahmedabad,3351.0,4,3,Fully-furnished,Villa,21.0,Yes,19439792.909536622
3,Delhi,2529.0,9,1,Fully-furnished,Independent House,16.0,Yes,29049839.73668632
4,Bangalore,2346.0,8,3,Fully-furnished,Independent House,6.0,Yes,22398807.124505173
2,Chennai,2890.0,4,3,Unfurnished,Independent House,10.0,Yes,16723218.621501036
5,Jaipur,4530.0,8,2,Semi-furnished,Independent House,16.0,No,19553076.812339857
4,Pune,3938.0,7,2,Unfurnished,Independent House,12.0,No,20547901.726326443
1,Hyderabad,2883.0,6,1,Semi-furnished,Independent House,18.0,No,19896491.223300252
5,Mumbai,3867.0,10,2,Fully-furnished,Apartment,16.0,Yes,57688670.26172316
2,Chennai,1965.0,12,4,Semi-furnished,Villa,10.0,No,13358429.04288244
4,Chennai,2651.0,2,2,Fully-furnished,Villa,23.0,No,19766923.420993842
5,Surat,3983.0,3,4,Semi-furnished,Apartment,3.0,No,19776916.526496172
4,Ahmedabad,1073.0,4,1,Semi-furnished,Villa,15.0,Yes,7756289.201150971
4,Ahmedabad,1274.0,7,1,Fully-furnished,Independent House,20.0,Yes,10122680.130285833
2,Surat,3865.0,8,3,Semi-furnished,Villa,0.0,Yes,17958929.9397835
3,Hyderabad,4838.0,14,4,Fully-furnished,Apartment,12.0,No,37032131.38735496
5,Ahmedabad,4430.0,11,3,Fully-furnished,Apartment,16.0,No,27133369.44578479
2,Jaipur,3180.0,8,3,Semi-furnished,Independent House,28.0,No,12883822.908431869
4,Pune,2720.0,4,3,Fully-furnished,Independent House,28.0,No,17456034.412970185
2,Mumbai,1939.0,9,4,Unfurnished,Villa,14.0,No,23967745.23853026
3,Mumbai,1213.0,8,2,Unfurnished,Independent House,9.0,No,17579357.617977705
5,Delhi,1075.0,11,4,Semi-furnished,Villa,0.0,Yes,16243784.821660152
3,Delhi,3481.0,13,2,Fully-furnished,Villa,14.0,No,38362269.00576505
1,Pune,569.0,5,4,Unfurnished,Independent House,26.0,Yes,3604129.1756001147
5,Kolkata,4264.0,13,1,Unfurnished,Villa,10.0,No,20130285.66241994
3,Kolkata,2876.0,3,1,Fully-furnished,Villa,26.0,No,15791919.222010082
4,Chennai,2705.0,2,2,Unfurnished,Villa,12.0,Yes,16572679.71324764
5,Chennai,1417.0,12,3,Unfurnished,Villa,27.0,No,9767958.623659011
5,Surat,3245.0,9,3,Semi-furnished,Apartment,2.0,Yes,16699128.283893367
2,Bangalore,1242.0,1,3,Semi-furnished,Apartment,21.0,Yes,10790347.197848182
4,Delhi,4650.0,7,3,Fully-furnished,Apartment,20.0,Yes,49515721.81953445
1,Bangalore,3033.0,11,4,Fully-furnished,Villa,29.0,Yes,23121030.99363082
3,Ahmedabad,2337.0,13,1,Unfurnished,Independent House,15.0,No,12863419.484495498
2,Mumbai,1876.0,14,4,Semi-furnished,Apartment,13.0,No,25186687.087450285
3,Chennai,909.0,7,4,Fully-furnished,Villa,10.0,Yes,10374906.683981197
1,Kolkata,3507.0,1,4,Unfurnished,Apartment,9.0,Yes,15382677.397147097
1,Pune,3452.0,14,2,Semi-furnished,Apartment,12.0,Yes,19099331.164636683
5,Delhi,4742.0,7,1,Fully-furnished,Apartment,6.0,Yes,52361387.64609275
1,Mumbai,2179.0,14,2,Semi-furnished,Apartment,16.0,No,27481943.488013986
3,Hyderabad,2214.0,1,3,Unfurnished,Villa,23.0,Yes,15195765.433488771
4,Pune,1697.0,2,1,Unfurnished,Apartment,15.0,No,11162294.567421617
4,Bangalore,2837.0,9,2,Unfurnished,Villa,4.0,Yes,21448516.37394424
5,Jaipur,3716.0,8,2,Semi-furnished,Independent House,5.0,Yes,17110301.738095637
3,Bangalore,3456.0,9,4,Fully-furnished,Independent House,1.0,Yes,30467688.582487997
3,Delhi,3693.0,12,2,Fully-furnished,Apartment,24.0,No,39482925.862276
1,Pune,526.0,9,2,Unfurnished,Independent House,2.0,No,3876107.1679746006
3,Jaipur,3637.0,4,3,Unfurnished,Independent House,20.0,Yes,14542887.96072194
2,Ahmedabad,3473.0,5,3,Unfurnished,Villa,9.0,Yes,17191459.312540006
1,Hyderabad,3665.0,10,2,Unfurnished,Villa,23.0,No,21283570.10746047
2,Bangalore,1590.0,7,2,Semi-furnished,Apartment,15.0,Yes,13774432.31338156
5,Hyderabad,749.0,6,2,Unfurnished,Independent House,0.0,Yes,9026910.880387597
4,Pune,641.0,9,4,Unfurnished,Independent House,29.0,Yes,5049495.3354734015
5,Mumbai,766.0,2,4,Fully-furnished,Villa,19.0,No,17731516.761003505
4,Pune,4810.0,8,4,Semi-furnished,Apartment,20.0,Yes,26481623.0173692
5,Kolkata,988.0,14,3,Unfurnished,Independent House,21.0,No,6331528.734162849
3,Jaipur,995.0,2,1,Semi-furnished,Independent House,28.0,Yes,5806905.845877734
2,Mumbai,979.0,14,4,Unfurnished,Apartment,29.0,No,13012800.230851585
4,Bangalore,3190.0,14,4,Semi-furnished,Villa,2.0,Yes,25786228.57624672
1,Ahmedabad,4596.0,2,2,Unfurnished,Villa,3.0,No,20694300.052310012
2,Hyderabad,3580.0,3,4,Unfurnished,Villa,18.0,No,22337627.38913143
1,Pune,2927.0,4,1,Semi-furnished,Independent House,3.0,Yes,17305740.22680854
2,Surat,1343.0,6,3,Unfurnished,Independent House,6.0,No,7561046.852722681
2,Delhi,3715.0,14,4,Unfurnished,Villa,24.0,No,30712576.64850267
5,Bangalore,4411.0,6,3,Semi-furnished,Villa,8.0,No,34012451.364018746
4,Delhi,4577.0,14,4,Fully-furnished,Independent House,29.0,No,47357892.76691591
4,Mumbai,2849.0,2,3,Fully-furnished,Villa,20.0,Yes,41969794.06716405
2,Kolkata,1149.0,6,3,Unfurnished,Independent House,28.0,No,5937781.510998805
3,Bangalore,2393.0,8,4,Semi-furnished,Villa,21.0,Yes,19336527.632445794
3,Kolkata,3356.0,5,4,Fully-furnished,Villa,24.0,No,18621946.9161321
1,Kolkata,3750.0,1,3,Semi-furnished,Independent House,19.0,No,17438178.626219448
1,Ahmedabad,2886.0,8,1,Fully-furnished,Apartment,6.0,No,16365149.07518092
5,Mumbai,2225.0,6,1,Unfurnished,Villa,2.0,No,31275708.4448867
2,Pune,1854.0,2,1,Semi-furnished,Apartment,24.0,Yes,11535208.887574747
1,Surat,1793.0,7,1,Unfurnished,Apartment,24.0,No,7656968.80890889
1,Jaipur,3546.0,14,4,Unfurnished,Villa,25.0,Yes,12929862.625356328
2,Kolkata,3758.0,8,2,Unfurnished,Villa,4.0,Yes,16833804.02971309
5,Mumbai,3213.0,2,3,Semi-furnished,Apartment,3.0,No,44647799.762230486
1,Ahmedabad,903.0,14,1,Fully-furnished,Apartment,10.0,Yes,7300387.110278579
5,Bangalore,4472.0,1,1,Unfurnished,Villa,25.0,No,30483043.482740622
4,Chennai,4532.0,6,2,Semi-furnished,Independent House,9.0,No,28290697.61917042
5,Chennai,2046.0,13,2,Fully-furnished,Villa,13.0,Yes,18604011.647347238
3,Surat,3106.0,6,4,Unfurnished,Independent House,24.0,No,12754868.42711674
3,Ahmedabad,3325.0,8,3,Fully-furnished,Apartment,20.0,No,19765979.53679178
